query_number,query_type,question,s,comment,mapping_comment,drugsFuzzy,indications,targets,species,effects,parameterComment,toxicityParameter,doseType,route,ages,sex,studyGroup,isPreclinical,concomitants
16,Retrieve : ADRs SOC + non clinical species + dosing regimen + sex + age --> ADRs,What are the drugs causing cardiac disorders in non clinical species with single administration in adult female,174,Cardiac disorders is the SOC term level 1.,PP AI failed; MedDRA rules are not yet implemented; substring search in Ages field.,,,,Human,Cardiac disorders,,,Single,,substring search adult,Female,,Yes,Empty
17,Retrieve : drug NameTox Parameters + Species + Route  --> Doses,What is the LD50 of Acyclovir in Rat or mouse after per os administration?,6,,"Acyclovir, Hydrocortisone strange TERMite matching.",Acyclovir,,,"Rat, Mouse",,,LD50,,Oral,,,,,Empty
18,Retrieve : Drug Name + Tox Parameters + Species + Route  + dosing regimen--> Doses,What is the Maximal tolerated dose of Alpelisib in human after repeated Oral Administration,3,,,Alpelisib,,,Human,,,MTD,Repeated,Oral,,,,,Empty
19,Retrieve : ADRs + Species + Route  + dosing regimen--> Doses,What are the drugs causing Mutagenicity in Rats,447,,,,,,Rat,Mutagenicity,,,,,,,,,Empty
20,Retrieve : ADRs --> Drugs,What are the drug having a positive Ames Test?,180,,Effect retrieval was too broad when using mutagenicity and others.,,,,,Ames Test,,,,,,,,,Empty
21,Retrieve ; Drug Target + Toxicity Parameter + Species --> Doses,What is the No Observed Effect Level of CDk4 inhibitors in mice?,2,,Taxonomy matching issue: Cyclin-dependent kinase 4 was found as a target but the main PP target term is Cyclin-dependent kinase 4 (CDK4).,,,Cyclin-dependent kinase 4 (CDK4),Mouse,,,NOEL,,,,,,,Empty
22,Retrieve : Drug Indication + species + route + dosing regimen + ADRs  -->Drugs,What are the drugs treating Gastro intestinal disorders causing arrythmia in human in single doses after IV administration,12,Substring search of Arrythmia in PT Terms and LLT terms (Synonyms).,MedDRA rules are not yet implemented.,,Gastro intestinal disorders,,Human,Arrhythmia; Arrhythmia neonatal; Foetal arrhythmia; Paroxysmal arrhythmia; Reperfusion arrhythmia; Withdrawal arrhythmia; Arrhythmia supraventricular; Nodal arrhythmia; Sinus arrhythmia; Ventricular arrhythmia; Arrhythmia induced cardiomyopathy; Add adverse effects & toxicity,,,Single,Intravenous,,,,,Empty
23,Retrieve : Drug class + Species+ ADRs --> Drugs,What are the monoclonal antibodies causing Nephritis in Monkeys?,27,,Drug class did not match PP drug class. monoclonal antibody was retrieved instead of monoclonal antibodies in the drug hierarchy; species retrieval was monkey instead of all monkeys.,Monoclonal antibodies,,,African green monkey; Capuchin monkey; Cynomolgus monkey; Monkey (unspecified); Patas monkey; Pig-tailed monkey; Rhesus monkey; Squirrel monkey; Stumptail monkey; Velvet monkey,Autoimmune nephritis; Immune-mediated nephritis; Lupus nephritis; Nephritis; Nephritis haemorrhagic; Tubulointerstitial nephritis; Tubulointerstitial nephritis and uveitis syndrome; Nephritis bacterial; Nephritis radiation; Henoch-Schonlein purpura nephritis; Nephritis allergic,,,,,,,,,Empty
24,Retrieve : Drug Class + Sex + Route + Dosing + Regimen --> ADRs,What are the ADRs of ADC after single intravenous administration in male?,13,,Drug class did not match PP drug class. ADC was retrieved instead of Antibody-Drug Conjugate (ADC) in the drug hierarchy.,Antibody-Drug Conjugate (ADC),,,Human,,,,Single,Intravenous,,Male,,,Empty
25,Retrieve : Drug name (Brand) + Species + Route + Dosing + Regimen --> ADRs,At which dose Tachycardia occurs for Columvi in Human after IV repeated dose?,2,,Columvi was used for drug fuzzy but Glofitamab was identified by TERMite.,Glofitamab,,,Human,,,,Repeated,Intravenous,,,,,Empty
